,Topic,Words,Frequency,Timestamp,Name
0,-1,"netflix, bvb, china, merwe, taiwan",19,2019-10-01,-1_wenn_dann_mehr_über
1,0,"morissette, alanis, lionel, wörter, brechtisches",8,2019-10-01,0_geschwindigkeitsanzeige_geschwindigkei...
2,10,"narrenhochburg, maßes, mainzer, dfb, auferlegten",1,2019-10-01,10_explosion_brand_feuer_ammoniumnitrat
3,14,"galaktisches, sonnenfinsternissen, himmelsphänomene, astronomie, kometen",1,2019-10-01,14_neutrinos_planeten_kometen_quarks
4,16,"maxima, königin, strahlefrau, frankreich, groschen",1,2019-10-01,16_cruises_tui_reederei_fridtjof
5,32,"piloten, computerstimme, cockpitfilme, pilotinnen, piloteye",2,2019-10-01,32_airlines_flugzeug_flugzeuge_aeroteleg...
6,48,"shooter, mehrspielermodi, spiele, deathmatch, angriffsmethoden",1,2019-10-01,48_xbox_playstation_microsoft_games
7,49,"firmware, 13, router, 7412, apple",3,2019-10-01,49_smartphone_apple_iphone_smartphones
8,59,"trump, trumps, impeachment, geheimdienstmitarbeiter, spione",2,2019-10-01,59_trump_trumps_donald_präsident
9,77,"seegold, 18, 12, schlechtgelaunte, 1176",1,2019-10-01,77_dezember_gardasee_chanukka_18
10,91,"ferretti, nasdaq, börse, bundesnetzagentur, börsengang",1,2019-10-01,91_china_hongkong_chinesischen_chinesisc...
11,93,"nordirland, irlands, irische, dublins, paramilitärischer",1,2019-10-01,93_brexit_großbritannien_brüssel_britisc...
12,95,"abzocke, restaurant, spaghetti, restaurants, einsehbar",1,2019-10-01,95_salz_butter_zucker_kochen
13,102,"hochbahn, stadtbahn, baumwall, mönckebergstraße, hauptbahnhof",1,2019-10-01,102_bahn_frankfurt_straße_ice
14,103,"philharmoniker, elbphilharmonie, clémentine, mezzosopranistin, oboist",1,2019-10-01,103_beethoven_musik_beethovens_oper
15,128,"skywalker, trump, vanka, sturmtruppler, goforceyourself",1,2019-10-01,128_instagram_mutter_mode_immer
16,145,"maaßen, ruhestand, geschäftsfelds, anwaltszulassung, kachelmann",1,2019-10-01,145_spd_scholz_karrenbauer_thüringen
17,159,"spanier, argentinier, argentinien, spanien, weltmeisterschaft",2,2019-10-01,159_liverpool_fc_manchester_champions
18,171,"kopfproblem, dutt, milos, trainerwechsel, daum",1,2019-10-01,171_bayern_trainer_bundesliga_hoeneß
19,-1,"paracetamol, turkana, botschaft, brazier, feldhamster",21,2019-10-02,-1_wenn_dann_mehr_über
20,0,"morissette, alanis, lionel, wörter, brechtisches",8,2019-10-02,0_geschwindigkeitsanzeige_geschwindigkei...
21,14,"sternenpark, sternwarte, bardenhagen, astronom, milchstraße",1,2019-10-02,14_neutrinos_planeten_kometen_quarks
22,53,"micaela, sklavin, fetish, patrica, nackedei",1,2019-10-02,53_mardini_markwitz_darß_schwimmflügel
23,55,"nordkorea, rakete, raketen, pjöngjang, kommunistische",2,2019-10-02,55_nordkorea_südkorea_nordkoreanischen_n...
24,66,"polizistin, podcast, unbewaffneten, urteilsspruch, eindringling",1,2019-10-02,66_depp_amber_weinstein_depps
25,80,"schulung, florida, miami, trainingskurs, marjory",1,2019-10-02,80_schulen_schule_lehrer_unterricht
26,93,"brexit, irland, austrittsabkommen, claude, nordirland",2,2019-10-02,93_brexit_großbritannien_brüssel_britisc...
27,94,"türkei, griechische, schmugglernetzwerke, geflüchtetenlager, asylgesetze",1,2019-10-02,94_ungarn_brüssel_ungarns_ungarische
28,95,"burger, restaurantketten, peperoniringe, braters, lachens",1,2019-10-02,95_salz_butter_zucker_kochen
29,96,"dienstrechtliche, übergriffs, staatsanwaltschaft, polizisten, polizeibeamten",1,2019-10-02,96_grzegorz_uganda_gefängnis_staatsanwal...
30,102,"beiersdorf, seehausen, leipzig, florena, tesa",1,2019-10-02,102_bahn_frankfurt_straße_ice
31,103,"liedern, brahms, singt, niesern, wiedersteht",1,2019-10-02,103_beethoven_musik_beethovens_oper
32,107,"car, china, autoindustrie, autobauer, brasilien",1,2019-10-02,107_tesla_auto_volkswagen_fahrzeuge
33,108,"dearlove, dearloves, spionagetätigkeit, spionagechef, bettwanzen",1,2019-10-02,
34,115,"unwirksam, mieter, kündigungsfrist, klauseln, klausel",1,2019-10-02,115_mieter_vermieter_miete_mietvertrag
35,147,"beschimpfungen, facebook, maaßen, wortlauts, zivilrechtliche",1,2019-10-02,
36,154,"baukindergeld, köln, quadratmeter, eigenheim, nebenkosten",1,2019-10-02,
37,173,"lemke, quasthoff, buschheuer, rbb, schmidt",1,2019-10-02,173_friedrich_mälzer_berliner_hamburger
38,178,"dortmund, trainerdiskussion, machbaren, heimmannschaft, abwehrchef",1,2019-10-02,178_borussia_haaland_lucien_erling
39,-1,"rembrandts, pussycat, dolls, harry, scherzinger",19,2019-10-03,-1_wenn_dann_mehr_über
40,0,"morissette, alanis, lionel, wörter, brechtisches",12,2019-10-03,0_geschwindigkeitsanzeige_geschwindigkei...
41,7,"itunes, schubenkow, kaltenborn, kündbar, bronzemedaille",2,2019-10-03,7_ferrari_hamilton_mercedes_fahrer
42,32,"luftwaffe, militärflugzeuges, militärflugplatz, sondereinsatzkommando, fallschirmspringer",1,2019-10-03,32_airlines_flugzeug_flugzeuge_aeroteleg...
43,43,"whatsapp, wabetainfo, messages, nutzer, android",1,2019-10-03,43_app_android_google_microsoft
44,52,"mittelmeer, externalisieren, vlaams, vandendriessche, verbotes",1,2019-10-03,52_mortezai_borschtsch_trigema_ringier
