,Topic,Words,Frequency,Timestamp,Name
0,-1,"netflix, china, merwe, serien, taiwan",19,2019-10-01,-1_wenn_dann_mehr_über
1,0,"gramm, gramms, reformdruck, verteidigungsministerium, thadeusz",8,2019-10-01,0_geschwindigkeitsanzeige_geschwindigkei...
2,10,"dfb, mainzer, maßes, narrenhochburg, pyrotechnische",1,2019-10-01,10_explosion_brand_feuer_ammoniumnitrat
3,14,"galaktisches, himmelsphänomene, kometen, sternschnuppen, astronomie",1,2019-10-01,14_neutrinos_planeten_kometen_quarks
4,16,"maxima, königin, frankreich, strahlefrau, bundeskanzlerin",1,2019-10-01,16_cruises_tui_reederei_fridtjof
5,32,"piloten, cockpitfilme, pilotinnen, piloteye, pilotseye",2,2019-10-01,32_airlines_flugzeug_flugzeuge_aeroteleg...
6,48,"shooter, mehrspielermodi, spiele, spielprinzips, deathmatch",1,2019-10-01,48_xbox_playstation_microsoft_games
7,49,"firmware, update, apple, iphone, smartphone",3,2019-10-01,49_smartphone_apple_iphone_smartphones
8,59,"trump, trumps, impeachment, geheimdienstmitarbeiter, spione",2,2019-10-01,59_trump_trumps_donald_präsident
9,77,"42, seegold, 18, schlechtgelaunte, 1176",1,2019-10-01,77_dezember_gardasee_chanukka_18
10,91,"ferretti, börse, bundesnetzagentur, börsengang, portierungsentgelte",1,2019-10-01,91_china_hongkong_chinesischen_chinesisc...
11,93,"nordirland, brexit, irlands, irische, dublins",1,2019-10-01,93_brexit_großbritannien_brüssel_britisc...
12,95,"abzocke, restaurant, spaghetti, restaurants, einsehbar",1,2019-10-01,95_salz_butter_zucker_kochen
13,102,"hochbahn, stadtbahn, hauptbahnhof, baumwall, mönckebergstraße",1,2019-10-01,102_bahn_frankfurt_straße_ice
14,103,"philharmoniker, elbphilharmonie, oboist, mezzosopranistin, konzertmeister",1,2019-10-01,103_beethoven_musik_beethovens_oper
15,128,"trump, skywalker, wars, goforceyourself, sturmtruppler",1,2019-10-01,128_instagram_mutter_mode_immer
16,145,"maaßen, ruhestand, geschäftsfelds, anwaltszulassung, kachelmann",1,2019-10-01,145_spd_scholz_karrenbauer_thüringen
17,159,"spanier, argentinier, argentinien, spanien, spiel",2,2019-10-01,159_liverpool_fc_manchester_champions
18,171,"kopfproblem, dutt, milos, trainerwechsel, kopf",1,2019-10-01,171_bayern_trainer_bundesliga_hoeneß
19,-1,"paracetamol, iggy, turkana, dearlove, baukindergeld",24,2019-10-02,-1_wenn_dann_mehr_über
20,0,"erwärmung, klimasensitivität, klimamodelle, reformdruck, verteidigungsministerium",8,2019-10-02,0_geschwindigkeitsanzeige_geschwindigkei...
21,14,"sternenpark, sternwarte, bardenhagen, astronom, milchstraße",1,2019-10-02,14_neutrinos_planeten_kometen_quarks
22,53,"micaela, sklavin, patrica, fetish, nackedei",1,2019-10-02,53_mardini_markwitz_darß_schwimmflügel
23,55,"nordkorea, pjöngjang, rakete, raketen, südkorea",2,2019-10-02,55_nordkorea_südkorea_nordkoreanischen_n...
24,66,"polizistin, urteilsspruch, eindringling, erschießt, strafmaß",1,2019-10-02,66_depp_amber_weinstein_depps
25,80,"lehrer, florida, schulung, miami, lehrtätigkeiten",1,2019-10-02,80_schulen_schule_lehrer_unterricht
26,93,"brexit, irland, nordirland, austrittsabkommen, claude",2,2019-10-02,93_brexit_großbritannien_brüssel_britisc...
27,94,"koumoutsakos, geflüchtetenlager, asylgesetze, giorgos, tsipras",1,2019-10-02,94_ungarn_brüssel_ungarns_ungarische
28,95,"burger, peperoniringe, fitnessgedanke, restaurantketten, braters",1,2019-10-02,95_salz_butter_zucker_kochen
29,96,"dienstrechtliche, ermittlungstaktischen, übergriffs, staatsanwaltschaft, frau",1,2019-10-02,96_grzegorz_uganda_gefängnis_staatsanwal...
30,102,"beiersdorf, leipzig, seehausen, florena, tesa",1,2019-10-02,102_bahn_frankfurt_straße_ice
31,103,"jessye, liedern, brahms, singt, niesern",1,2019-10-02,103_beethoven_musik_beethovens_oper
32,107,"car, china, autoindustrie, zollkriege, autos",1,2019-10-02,107_tesla_auto_volkswagen_fahrzeuge
33,115,"mieter, unwirksam, kündigungsfrist, klauseln, klausel",1,2019-10-02,115_mieter_vermieter_miete_mietvertrag
34,173,"quasthoff, buschheuer, berlin, schmidt, krause",1,2019-10-02,173_friedrich_mälzer_berliner_hamburger
35,178,"bvb, borussia, trainerdiskussion, machbaren, heimmannschaft",1,2019-10-02,178_borussia_haaland_lucien_erling
36,-1,"rembrandt, goulard, pöttrich, kornblum, war",20,2019-10-03,-1_wenn_dann_mehr_über
37,0,"momo, clarissa, angelina, joana, songs",12,2019-10-03,0_geschwindigkeitsanzeige_geschwindigkei...
38,7,"schubenkow, kaltenborn, ferrari, bronzemedaille, olympiazweite",2,2019-10-03,7_ferrari_hamilton_mercedes_fahrer
39,32,"tramuntana, luftwaffe, mallorca, sondereinsatzkommando, probt",1,2019-10-03,32_airlines_flugzeug_flugzeuge_aeroteleg...
